RK,Country,Name,Age,Pos,GP,G,A,P,PIM,PM,PPG,SHG,GWG,G_GP,A_GP,P_GP,Year,Gold,Silver,Bronze,No_medal
1,SE,Rickard Rakell,24,F,10,6,8,14,6,7,1,0,2,0.6,0.8,1.4,2018,1,0,0,0
2,SE,Mika Zibanejad,25,F,10,6,5,11,0,10,3,0,2,0.6,0.5,1.1,2018,1,0,0,0
3,SE,Mattias Janmark-Nylén,25,F,10,4,6,10,8,8,1,0,0,0.4,0.6,1,2018,1,0,0,0
4,SE,Mikael Backlund,29,F,10,2,7,9,6,7,1,0,0,0.2,0.7,0.9,2018,1,0,0,0
5,SE,Adrian Kempe,21,F,10,2,6,8,8,6,1,0,1,0.2,0.6,0.8,2018,1,0,0,0
6,SE,Oliver Ekman-Larsson,26,D,10,2,5,7,4,10,1,0,1,0.2,0.5,0.7,2018,1,0,0,0
7,SE,John Klingberg,25,D,10,1,5,6,4,6,1,0,0,0.1,0.5,0.6,2018,1,0,0,0
8,SE,Hampus Lindholm,24,D,10,0,6,6,4,6,0,0,0,0,0.6,0.6,2018,1,0,0,0
9,SE,Gustav Nyquist,28,F,9,4,1,5,8,3,0,0,0,0.444,0.111,0.556,2018,1,0,0,0
10,SE,Magnus Pääjärvi,27,F,10,3,0,3,4,3,0,1,0,0.3,0,0.3,2018,1,0,0,0
11,SE,Viktor Arvidsson,25,F,5,3,0,3,6,4,0,0,1,0.6,0,0.6,2018,1,0,0,0
12,SE,Filip Forsberg,23,F,4,2,1,3,0,4,0,0,1,0.5,0.25,0.75,2018,1,0,0,0
13,SE,Adam Larsson,25,D,10,1,2,3,10,13,0,0,1,0.1,0.2,0.3,2018,1,0,0,0
14,SE,Elias Pettersson,19,F,5,1,2,3,0,2,1,0,0,0.2,0.4,0.6,2018,1,0,0,0
15,SE,Mattias Ekholm,27,D,4,1,2,3,2,4,0,0,0,0.25,0.5,0.75,2018,1,0,0,0
16,SE,Patric Hörnqvist,31,F,5,2,0,2,2,2,2,0,0,0.4,0,0.4,2018,1,0,0,0
17,SE,Dennis Everberg,26,F,10,1,1,2,2,3,0,0,0,0.1,0.1,0.2,2018,1,0,0,0
18,SE,Jacob de la Rose,22,F,10,1,1,2,0,2,0,0,0,0.1,0.1,0.2,2018,1,0,0,0
19,SE,Lias Andersson,19,F,10,1,1,2,4,3,0,0,1,0.1,0.1,0.2,2018,1,0,0,0
20,SE,Johan Larsson,25,F,10,0,1,1,2,1,0,0,0,0,0.1,0.1,2018,1,0,0,0
21,SE,Mikael Wikstrand,24,D,10,0,1,1,2,2,0,0,0,0,0.1,0.1,2018,1,0,0,0
22,SE,Anders Nilsson,28,G,7,0,1,1,0,,0,0,0,0,0.143,0.143,2018,1,0,0,0
23,SE,Erik Gustafsson,26,D,6,0,1,1,2,3,0,0,0,0,0.167,0.167,2018,1,0,0,0
24,SE,Magnus Hellberg,27,G,3,0,0,0,0,,0,0,0,0,0,0,2018,1,0,0,0
1,AT,Michael Raffl,29,F,5,4,1,5,4,3,2,0,0,0.8,0.2,1,2018,0,0,0,1
2,AT,Konstantin Komarek,25,F,7,2,3,5,4,-6,1,0,0,0.286,0.429,0.714,2018,0,0,0,1
3,AT,Dominic Zwerger,21,F,7,2,0,2,2,-5,2,0,0,0.286,0,0.286,2018,0,0,0,1
4,AT,Peter Schneider,27,F,7,1,1,2,0,-3,0,0,0,0.143,0.143,0.286,2018,0,0,0,1
5,AT,Martin Schumnig,28,D,7,0,2,2,4,-4,0,0,0,0,0.286,0.286,2018,0,0,0,1
6,AT,Clemens Unterweger,26,D,7,0,2,2,4,-5,0,0,0,0,0.286,0.286,2018,0,0,0,1
7,AT,Fabio Hofer,27,F,6,0,2,2,0,-5,0,0,0,0,0.333,0.333,2018,0,0,0,1
8,AT,Lukas Haudum,20,F,6,0,2,2,2,-2,0,0,0,0,0.333,0.333,2018,0,0,0,1
9,AT,Dominique Heinrich,27,F,5,0,2,2,0,-4,0,0,0,0,0.4,0.4,2018,0,0,0,1
