,Maa,Vuosi,Gold,Silver,Bronze,No_medal,#,,Nimi,Ikä,PP,O,M,S,P,RM,+/-,YVM,AVM,VM,M/O,S/O,P/O
0,canada,2018,0,0,0,1,1,,Connor McDavid,21,H,10,5,12,17,10,6,0,0,2,0.500,1.200,1.700
1,canada,2018,0,0,0,1,2,,Ryan Nugent-Hopkins,25,H,10,5,3,8,2,5,1,0,1,0.500,0.300,0.800
2,canada,2018,0,0,0,1,3,,Colton Parayko,24,P,10,4,4,8,6,8,2,0,0,0.400,0.400,0.800
3,canada,2018,0,0,0,1,4,,Bo Horvat,23,H,10,3,4,7,0,3,0,1,0,0.300,0.400,0.700
4,canada,2018,0,0,0,1,5,,Pierre-Luc Dubois,19,H,9,3,4,7,2,4,0,0,0,0.333,0.444,0.778
5,canada,2018,0,0,0,1,6,,Mathew Barzal,20,H,10,0,7,7,4,4,0,0,0,0.000,0.700,0.700
6,canada,2018,0,0,0,1,7,,Tyson Jost,20,H,9,4,2,6,4,6,0,0,0,0.444,0.222,0.667
7,canada,2018,0,0,0,1,8,,Aaron Ekblad,22,P,10,1,5,6,6,5,0,0,1,0.100,0.500,0.600
8,canada,2018,0,0,0,1,9,,Brayden Schenn,26,H,10,2,3,5,0,1,1,0,1,0.200,0.300,0.500
9,canada,2018,0,0,0,1,10,,Jordan Eberle,27,H,10,2,3,5,2,-1,1,0,0,0.200,0.300,0.500
10,canada,2018,0,0,0,1,11,,Jean-Gabriel Pageau,25,H,10,1,4,5,12,3,0,0,0,0.100,0.400,0.500
11,canada,2018,0,0,0,1,12,,Ryan O'Reilly,27,H,10,4,0,4,2,5,2,0,1,0.400,0.000,0.400
12,canada,2018,0,0,0,1,13,,Joshua Bailey,28,H,9,1,3,4,2,0,1,0,0,0.111,0.333,0.444
13,canada,2018,0,0,0,1,14,,Joel Edmundson,24,P,9,1,3,4,12,11,0,0,0,0.111,0.333,0.444
14,canada,2018,0,0,0,1,15,,Jaden Schwartz,25,H,8,0,4,4,0,6,0,0,0,0.000,0.500,0.500
15,canada,2018,0,0,0,1,16,,Anthony Beauvillier,20,H,9,2,1,3,10,4,0,0,0,0.222,0.111,0.333
16,canada,2018,0,0,0,1,17,,Kyle Turris,28,H,4,1,1,2,0,-1,0,0,0,0.250,0.250,0.500
17,canada,2018,0,0,0,1,18,,Marc-Edouard Vlasic,31,P,6,1,0,1,0,1,0,0,0,0.167,0.000,0.167
18,canada,2018,0,0,0,1,19,,Ryan Murray,24,P,10,0,1,1,4,-1,0,0,0,0.000,0.100,0.100
19,canada,2018,0,0,0,1,20,,Darnell Nurse,23,P,10,0,1,1,4,-1,0,0,0,0.000,0.100,0.100
20,canada,2018,0,0,0,1,21,,Ryan Pulock,23,P,8,0,1,1,0,5,0,0,0,0.000,0.125,0.125
21,canada,2018,0,0,0,1,22,,Thomas Chabot,21,P,6,0,1,1,0,3,0,0,0,0.000,0.167,0.167
22,canada,2018,0,0,0,1,23,,Darcy Kuemper,27,M,7,0,0,0,0,,0,0,0,0.000,0.000,0.000
23,canada,2018,0,0,0,1,24,,Curtis McElhinney,34,M,5,0,0,0,0,,0,0,0,0.000,0.000,0.000
24,canada,2017,0,1,0,0,1,,Nathan MacKinnon,21,H,10,6,9,15,6,6,2,0,0,0.600,0.900,1.500
25,canada,2017,0,1,0,0,2,,Mitchell Marner,20,H,10,4,8,12,8,1,1,0,1,0.400,0.800,1.200
26,canada,2017,0,1,0,0,3,,Ryan O'Reilly,26,H,10,6,3,9,0,1,4,0,1,0.600,0.300,0.900
27,canada,2017,0,1,0,0,4,,Jeff Skinner,24,H,10,4,5,9,27,8,0,0,1,0.400,0.500,0.900
28,canada,2017,0,1,0,0,5,,Mark Scheifele,24,H,10,3,5,8,8,1,2,0,0,0.300,0.500,0.800
29,canada,2017,0,1,0,0,6,,Travis Konecny,20,H,10,0,8,8,4,6,0,0,0,0.000,0.800,0.800
30,canada,2017,0,1,0,0,7,,Colton Parayko,23,P,6,3,4,7,0,2,3,0,0,0.500,0.667,1.167
31,canada,2017,0,1,0,0,8,,Tyson Barrie,25,P,3,2,5,7,0,5,0,0,0,0.667,1.667,2.333
32,canada,2017,0,1,0,0,9,,Michael Matheson,23,P,10,1,6,7,10,8,1,0,1,0.100,0.600,0.700
33,canada,2017,0,1,0,0,10,,Claude Giroux,29,H,10,2,4,6,4,6,1,0,0,0.200,0.400,0.600
34,canada,2017,0,1,0,0,11,,Brayden Point,21,H,10,4,1,5,0,7,0,0,2,0.400,0.100,0.500
35,canada,2017,0,1,0,0,12,,Marc-Edouard Vlasic,30,P,10,1,1,2,2,6,0,0,1,0.100,0.100,0.200
36,canada,2017,0,1,0,0,13,,Sean Couturier,24,H,8,1,1,2,2,0,0,0,0,0.125,0.125,0.250
37,canada,2017,0,1,0,0,14,,Wayne Simmonds,28,H,10,0,2,2,4,2,0,0,0,0.000,0.200,0.200
38,canada,2017,0,1,0,0,15,,Chris Lee,36,P,7,0,2,2,4,-2,0,0,0,0.000,0.286,0.286
39,canada,2017,0,1,0,0,16,,Matt Duchene,26,H,10,1,0,1,0,2,0,0,0,0.100,0.000,0.100
40,canada,2017,0,1,0,0,17,,Brayden Schenn,25,H,10,1,0,1,2,1,1,0,1,0.100,0.000,0.100
41,canada,2017,0,1,0,0,18,,Calvin de Haan,25,P,10,0,1,1,8,4,0,0,0,0.000,0.100,0.100
42,canada,2017,0,1,0,0,19,,Josh Morrissey,22,P,10,0,1,1,6,5,0,0,0,0.000,0.100,0.100
43,canada,2017,0,1,0,0,20,,Jason Demers,28,P,10,0,0,0,4,2,0,0,0,0.000,0.000,0.000
44,canada,2017,0,1,0,0,21,,Alex Killorn,27,H,10,0,0,0,8,1,0,0,0,0.000,0.000,0.000
45,canada,2017,0,1,0,0,22,,Calvin Pickard,25,M,7,0,0,0,0,,0,0,0,0.000,0.000,0.000
46,canada,2017,0,1,0,0,23,,Chad Johnson,30,M,3,0,0,0,0,,0,0,0,0.000,0.000,0.000
47,canada,2016,1,0,0,0,1,,Derick Brassard,28,H,10,5,6,11,4,9,2,0,1,0.500,0.600,1.100
48,canada,2016,1,0,0,0,2,,Matt Duchene,25,H,10,5,5,10,2,10,1,0,0,0.500,0.500,1.000
49,canada,2016,1,0,0,0,3,,Mark Stone,23,H,10,4,6,10,6,8,1,0,1,0.400,0.600,1.000
50,canada,2016,1,0,0,0,4,,Taylor Hall,24,H,10,6,3,9,2,8,1,0,1,0.600,0.300,0.900
51,canada,2016,1,0,0,0,5,,Corey Perry,30,H,10,4,5,9,6,6,1,0,1,0.400,0.500,0.900
52,canada,2016,1,0,0,0,6,,Mark Scheifele,23,H,9,4,5,9,8,8,1,0,1,0.444,0.556,1.000
53,canada,2016,1,0,0,0,7,,Connor McDavid,19,H,10,1,8,9,6,3,0,0,1,0.100,0.800,0.900
54,canada,2016,1,0,0,0,8,,Ryan O'Reilly,25,H,10,2,6,8,2,9,0,1,0,0.200,0.600,0.800
55,canada,2016,1,0,0,0,9,,Brad Marchand,27,H,10,4,3,7,10,9,0,1,0,0.400,0.300,0.700
56,canada,2016,1,0,0,0,10,,Michael Matheson,22,P,10,2,4,6,0,11,1,0,0,0.200,0.400,0.600
57,canada,2016,1,0,0,0,11,,Cody Ceci,22,P,10,1,5,6,0,8,1,0,0,0.100,0.500,0.600
58,canada,2016,1,0,0,0,12,,Brendan Gallagher,24,H,10,2,3,5,12,5,0,0,1,0.200,0.300,0.500
59,canada,2016,1,0,0,0,13,,Ryan Murray,22,P,10,0,5,5,0,6,0,0,0,0.000,0.500,0.500
60,canada,2016,1,0,0,0,14,,Boone Jenner,22,H,10,2,2,4,4,2,0,0,0,0.200,0.200,0.400
61,canada,2016,1,0,0,0,15,,Sam Reinhart,20,H,10,0,4,4,0,3,0,0,0,0.000,0.400,0.400
62,canada,2016,1,0,0,0,16,,Morgan Rielly,22,P,10,1,2,3,2,7,0,0,1,0.100,0.200,0.300
63,canada,2016,1,0,0,0,17,,Mathew Dumba,21,P,10,1,1,2,2,8,1,0,0,0.100,0.100,0.200
64,canada,2016,1,0,0,0,18,,Ryan Ellis,25,P,5,1,1,2,0,2,0,0,1,0.200,0.200,0.400
65,canada,2016,1,0,0,0,19,,Max Domi,21,H,10,1,0,1,4,0,0,0,0,0.100,0.000,0.100
66,canada,2016,1,0,0,0,20,,Christopher Tanev,26,P,10,0,1,1,0,8,0,0,0,0.000,0.100,0.100
67,canada,2016,1,0,0,0,21,,Ben Hutton,23,P,5,0,1,1,0,3,0,0,0,0.000,0.200,0.200
68,canada,2016,1,0,0,0,22,,Cameron Talbot,28,M,8,0,0,0,0,,0,0,0,0.000,0.000,0.000
69,canada,2016,1,0,0,0,23,,Calvin Pickard,24,M,2,0,0,0,0,,0,0,0,0.000,0.000,0.000
70,canada,2015,1,0,0,0,1,,Jason Spezza,31,H,10,6,8,14,2,7,0,0,1,0.600,0.800,1.400
71,canada,2015,1,0,0,0,2,,Jordan Eberle,24,H,10,5,8,13,0,8,2,0,1,0.500,0.800,1.300
72,canada,2015,1,0,0,0,3,,Taylor Hall,23,H,10,7,5,12,6,8,0,0,1,0.700,0.500,1.200
73,canada,2015,1,0,0,0,4,,Matt Duchene,24,H,10,4,8,12,2,10,0,0,1,0.400,0.800,1.200
74,canada,2015,1,0,0,0,5,,Sidney Crosby,27,H,9,4,7,11,2,1,1,0,1,0.444,0.778,1.222
75,canada,2015,1,0,0,0,6,,Brent Burns,30,P,10,2,9,11,4,12,1,0,1,0.200,0.900,1.100
76,canada,2015,1,0,0,0,7,,Ryan O'Reilly,24,H,10,2,9,11,0,10,0,0,0,0.200,0.900,1.100
77,canada,2015,1,0,0,0,8,,Claude Giroux,27,H,10,3,7,10,4,11,2,0,0,0.300,0.700,1.000
78,canada,2015,1,0,0,0,9,,Tyler Seguin,23,H,10,9,0,9,2,9,5,0,1,0.900,0.000,0.900
79,canada,2015,1,0,0,0,10,,Nathan MacKinnon,19,H,10,4,5,9,6,6,0,0,0,0.400,0.500,0.900
80,canada,2015,1,0,0,0,11,,Jake Muzzin,26,P,10,0,8,8,4,14,0,0,0,0.000,0.800,0.800
81,canada,2015,1,0,0,0,12,,Aaron Ekblad,19,P,10,4,3,7,6,10,0,0,1,0.400,0.300,0.700
82,canada,2015,1,0,0,0,13,,Sean Couturier,22,H,10,3,4,7,2,13,0,0,0,0.300,0.400,0.700
83,canada,2015,1,0,0,0,14,,Tyler Ennis,25,H,10,4,2,6,0,7,1,0,2,0.400,0.200,0.600
84,canada,2015,1,0,0,0,15,,Cody Eakin,23,H,9,4,2,6,0,7,0,0,0,0.444,0.222,0.667
85,canada,2015,1,0,0,0,16,,Tyson Barrie,23,P,10,1,5,6,0,12,0,0,0,0.100,0.500,0.600
86,canada,2015,1,0,0,0,17,,Dan Hamhuis,32,P,10,0,6,6,8,9,0,0,0,0.000,0.600,0.600
87,canada,2015,1,0,0,0,18,,Tyler Toffoli,23,H,10,2,3,5,2,9,0,0,0,0.200,0.300,0.500
88,canada,2015,1,0,0,0,19,,Patrick Wiercioch,24,P,10,1,3,4,0,8,0,0,0,0.100,0.300,0.400
89,canada,2015,1,0,0,0,20,,David Savard,24,P,10,0,4,4,6,10,0,0,0,0.000,0.400,0.400
90,canada,2015,1,0,0,0,21,,Brayden Schenn,23,H,2,1,0,1,0,4,0,0,0,0.500,0.000,0.500
91,canada,2015,1,0,0,0,22,,Mike Smith,33,M,8,0,0,0,0,,0,0,0,0.000,0.000,0.000
92,canada,2015,1,0,0,0,23,,Martin Jones,25,M,2,0,0,0,0,,0,0,0,0.000,0.000,0.000
93,canada,2014,0,0,0,1,1,,Joel Ward,33,H,8,6,3,9,4,7,1,2,0,0.750,0.375,1.125
94,canada,2014,0,0,0,1,2,,Cody Hodgson,24,H,8,6,2,8,4,3,3,2,0,0.750,0.250,1.000
95,canada,2014,0,0,0,1,3,,Kyle Turris,24,H,8,3,3,6,2,2,0,0,1,0.375,0.375,0.750
96,canada,2014,0,0,0,1,4,,Matt Read,27,H,8,2,3,5,2,1,0,0,1,0.250,0.375,0.625
97,canada,2014,0,0,0,1,5,,Ryan Ellis,23,P,8,1,4,5,0,9,1,0,0,0.125,0.500,0.625
98,canada,2014,0,0,0,1,6,,Jonathan Huberdeau,20,H,8,1,4,5,2,5,0,0,0,0.125,0.500,0.625
99,canada,2014,0,0,0,1,7,,Brayden Schenn,22,H,8,3,1,4,0,2,0,1,0,0.375,0.125,0.500
100,canada,2014,0,0,0,1,8,,Kevin Bieksa,32,P,8,2,2,4,4,6,0,1,0,0.250,0.250,0.500
101,canada,2014,0,0,0,1,9,,Mark Scheifele,21,H,8,2,2,4,0,6,0,0,0,0.250,0.250,0.500
102,canada,2014,0,0,0,1,10,,Nathan MacKinnon,18,H,8,1,3,4,8,3,0,1,0,0.125,0.375,0.500
103,canada,2014,0,0,0,1,11,,Jason Garrison,29,P,7,0,4,4,6,5,0,0,0,0.000,0.571,0.571
104,canada,2014,0,0,0,1,12,,Jason Chimera,35,H,8,1,2,3,0,0,0,0,0,0.125,0.250,0.375
105,canada,2014,0,0,0,1,13,,Morgan Rielly,20,P,8,1,2,3,0,3,1,1,0,0.125,0.250,0.375
106,canada,2014,0,0,0,1,14,,Nazem Kadri,23,H,8,0,3,3,4,2,0,0,0,0.000,0.375,0.375
107,canada,2014,0,0,0,1,15,,Tyler Myers,24,P,8,0,2,2,6,0,0,0,0,0.000,0.250,0.250
108,canada,2014,0,0,0,1,16,,Sean Monahan,19,H,8,0,2,2,2,3,0,0,0,0.000,0.250,0.250
109,canada,2014,0,0,0,1,17,,Erik Gudbranson,22,P,8,1,0,1,6,7,0,0,0,0.125,0.000,0.125
110,canada,2014,0,0,0,1,18,,Troy Brouwer,28,H,8,0,1,1,4,2,0,0,0,0.000,0.125,0.125
111,canada,2014,0,0,0,1,19,,Alexandre Burrows,33,H,6,0,1,1,4,0,0,0,0,0.000,0.167,0.167
